ORDEN_PLANEADO;EXCLUIR_CUENTA_UNICA;EPICA;SDATOOL;FEATURE;DELIVERABLE;LINKJIRA;NOMBRE_PROYECTO;DOMINIO;PROGRAMA;SPRINT_(VP);TIER;PLAN(Portafolio);TAG_(MP);TECNOLOGÍA;COMPLEJIDAD;GREMIO_(DIRECCIÓNSYSTEM);DIRECCIÓN_SYSTEM_(4);PORTAFOLIO_PLAN_ASCENSO;PLAN_MERCURIO;PLAN_AREA_REVIEW;COMITÉ_(VP);DIRECCIÓN_DE_INGENIERIA;TIPOS_De_MANTENIMIENTO;CATEGORIADELPROYECTO;TIPO(EMC-OTROS);EMCCOMPROMETIDO;FECHAREPLANIFICACIÓN;FECHAREPLANIFICACIÓN2;FECHAREPLANIFICACIÓN3;MOTIVOREPLANIFICACIÓN;TIPODEMETODOLOGÍA;PROGRAMINCREMENT;TYPEOFDELIVERY;SERVICEOWNER;LIDERTECNICO;PROGRAMMANAGER;PO-OWNER;TECHMANAGER;ARQUITECTURA;CORPORATESECURITY;TDM;TALENTOBBVA;TALENTOEXTERNO;RATIOSTAFFING;"PRESUPUESTO
(PRESUPUESTADO)(Capex)";"PRESUPUESTO
(COMPROMETIDO)
(Capex)";PRESUPUESTOREALIZADO(Capex);PRESUPUESTODISPONIBLE;PAYBACK;VALORDERETORNO;COMENTARIOSEGUIMIENTO;CREACIONCOMENTARIO;ACTUALIZACIÓNCOMENTARIO;AVANCEREAL;AVANCETEORICO;DESVIACIÓN;ESTADO;INDICADOR
174;PLANEADO;E2E-107385;37100;COLWSCANAL-2119;;https://globaldevtools.bbva.com/jira/browse/COLWSCANAL-2119;Identificación por voicebot;Client Solutions;4.Transformación_de_la_Red;;Tier 1;10.Plan_Ascenso;3.Generación_de_Eficiencias;;;Retail System;;10.Plan_Ascenso;;;;1.Systems_Engineering;2.Proyecto;1.Software_Aplicativo;1.EMC;2022-Q3;;;;;Unknown;2022-Q3;Customer Delivery;camilo.aguirre;juliocesar.estupinan;;juliocesar.estupinan;;;;;;;;;;;;;;"rea.guarin Dado que en la descripción del proyecto indican que lleva mensajería por favor aclarar si corresponde a mensajería enviada por el banco a través de SMS, si son mensajes nuevos o mensajes productivos actualmente, adicional que se va a notificar con el mensaje SMS dado que no está autorizado la creación de mensajes SMS nuevos excepto que sean de OTP.

Agradezco la aclaración para poder determinar ni hay participación de mi parte, gracias";28/04/2022;28/04/2022;;;;New;Estado New
176;PLANEADO;E2E-149810;39244;COLWSCANAL-2125;;https://globaldevtools.bbva.com/jira/browse/COLWSCANAL-2125;Pricing Libranza Digital y Capitalización de Intereses;Client Solutions;1.Ventas_Digitales;;Tier 1;9.Open_Market+Partnerships;2.Generación_de_Ingresos;;;Retail System;;;;;;1.Systems_Engineering;2.Proyecto;7.Otros;3.Otros;;;;;;Unknown;2022-Q2;Customer Delivery;camilo.aguirre;tatiana.sanchez;;brigitteyesenia.beltran;;;;;;;;;;;;;;"do a hector.murcia , Ivonne Milena Gomez Pedreros 

 

intercepciondemandabpe.colombia.group ";27/04/2022;29/04/2022;;;;New;Estado New
178;PLANEADO;E2E-153774;39352;COLWSCANAL-2132;;https://globaldevtools.bbva.com/jira/browse/COLWSCANAL-2132;Contratación de tarjeta crédito en GEMA ;Client Solutions;2.Pymes/Empresas;;Tier 1;3.Credit_Cards;4.Mayor_Transaccionalidad;;;Enterprise System;;;;;;1.Systems_Engineering;2.Proyecto;1.Software_Aplicativo;3.Otros;;;;;;Unknown;2022-Q4;Functional;ivanmauricio.perez;jennymaria.urdaneta;;jennymaria.urdaneta;;;;;;;;;;;;;;"signado a claudia.novoa , magda.pedraza 

intercepciondemandabpe.colombia.group 

 

Se reasigna esta petición al interior de BPE, al ingeniero john.garcia 

 

 ";26/04/2022;27/04/2022;;;;Analysing;1. A Tiempo
180;PLANEADO;E2E-153788;39357;COLWSCANAL-2153;;https://globaldevtools.bbva.com/jira/browse/COLWSCANAL-2153;Onboarding Autónomos;Client Solutions;2.Pymes/Empresas;;Tier 1;5.Enterprise_global_service;;;;;;;;;;1.Systems_Engineering;2.Proyecto;1.Software_Aplicativo;1.EMC;2022-Q3;;;;;Unknown;2022-Q3;Customer Delivery;ivanmauricio.perez;Wilder Suarez;;Wilder Suarez;;;;;;;;;;;;;;" asignado a john.garcia , claudia.novoa 

 

intercepciondemandabpe.colombia.group 

 

 ";27/04/2022;27/04/2022;;;;New;Estado New
182;PLANEADO;E2E-154098;39384;COLWSCANAL-2225;;https://globaldevtools.bbva.com/jira/browse/COLWSCANAL-2225;Georeferenciación de puntos físicos en pagina WEB;Client Solutions;7.Otros;;Tier 1;17.Otros;5.Otros;;;;;;;;;12.Otros;2.Proyecto;7.Otros;3.Otros;;;;;;Unknown;2022-Q3;Functional;carlos.barreto;vickyalexandra.mora;;vickyalexandra.mora;;;;;;;;;;;;;;rio;;28/04/2022;;;;New;Estado New
184;PLANEADO;E2E-120308;37294;COLWSCANAL-2363;;https://globaldevtools.bbva.com/jira/browse/COLWSCANAL-2363;POC - Gestor de Fila ;Client Solutions;4.Transformación_de_la_Red;;Tier 1;16.Area_Review;4.Mayor_Transaccionalidad;;;Retail System;;;;16.Area_Review;;1.Systems_Engineering;5.Otros;4.Software_y_Hardware;3.Otros;;;;;;Unknown;2022-Q2;Enabler Delivery;carlos.barreto;carlosalbert.perez;;carlosalbert.perez;;;;;;;;;;;;;;eviamente conceptuado por carlosarturo.garcia,quien ha sido invitado a la sesión de entendimiento intercepciondemandabpe.colombia.group, angela.navarro ;26/04/2022;26/04/2022;;;;New;Estado New
186;PLANEADO;E2E-41411;31326;COLWSCANAL-2403;;https://globaldevtools.bbva.com/jira/browse/COLWSCANAL-2403;31326-213350-Subproceso_de_Avalúos__(_7_Actividades);Client Solutions;4.Transformación_de_la_Red;;Tier 2;7.New_Relationship_Model;5.Otros;;;;;;;;;1.Systems_Engineering;2.Proyecto;1.Software_Aplicativo;1.EMC;2022-Q3;;;;;Unknown;2022-Q3;Functional;david.robayo;lyda.cabanzo;;wilson.vera;;;;;;;;;;;;;;rio;;28/04/2022;;;;New;Estado New
188;PLANEADO;E2E-65871;34655;COLWSCANAL-424;;https://globaldevtools.bbva.com/jira/browse/COLWSCANAL-424;Habilitación Convenios recaudos por CB - (Consulta);Client Solutions;4.Transformación_de_la_Red;;Tier 2;;;Ether;Baja;Enterprise System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q1;Enabler Delivery;camilo.aguirre;william.vargas;;erikajulieth.ruiz;;;;;;;;DESLIZADOS;SYSTEMS;$ 7.180.828;$ 0;;;En VoBo usuarios, atraso por ajuste de perfilado para Bca de Gobierno y Linea Empresarial . Se estima PP 11 Mar.;24/03/2022;29/03/2022;;;;Deployed;2. Atrasado
190;PLANEADO;E2E-69745;35350;COLWSCANAL-656;;https://globaldevtools.bbva.com/jira/browse/COLWSCANAL-656;Lean Office - Biblioteca Transaccional - Nuevo modelo de impresión Fase III;Client Solutions;;;Tier 2;;;;;Retail System;;;;;;;;;3.Otros;;;;;;Unknown;2022-Q2;Customer Delivery;juan.sandoval;fabian.vargas;;fabian.vargas;;;;;;;;1Q;SYSTEMS;$ 85.999.999;$ 0;;;rio;;29/04/2022;;;;New;Estado New
192;PLANEADO;E2E-107065;37061;COLWSCANAL-710;;https://globaldevtools.bbva.com/jira/browse/COLWSCANAL-710;Ascenso - Plan de Lealtad Comercios;Client Solutions;2.Pymes/Empresas;Mercurio_&_Adquirencia;Tier 1;10.Plan_Ascenso;;Sin Dato;Media;Banking Applications System;;10.Plan_Ascenso;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;Cliente - Definición;Unknown;2022-Q3;Customer Delivery;manuel.villamil;JOSE MIGUEL SANCHEZ BARRANTES;;andrea.orrego;;;;;;;;1Q;SYSTEMS;$ 159.935.973;$ 0;;;22:  Se realiza sesión del product owner con el resto del equipo para aclarar el alcance del proyecto;29/04/2022;29/04/2022;;;;Analysing;2. Atrasado
194;PLANEADO;E2E-136446;38527;COLWSCANAL-728;;https://globaldevtools.bbva.com/jira/browse/COLWSCANAL-728;AJUSTE PAGARE APP;Client Solutions;1.Ventas_Digitales;Consumo_&_Partnerships;Tier 3;;;Sin Dato;Sin dato;Retail System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q2;Customer Delivery;camilo.aguirre;leidypolet.rojas;;davidorlando.diaz;;;;;;;;;;;;;;Culmina la fase de pruebas de calidad 100%, cierre de FARIT 100%y Cyberseguridad del cual esta pendiente el VoBo y se solicita versión al equipo VT. De acuerdo a la ruta critica los tiempos están acordes al plan establecido y se proyecta puesta en producción 7 de mayo.;29/04/2022;29/04/2022;;;;Test;1. A Tiempo
196;PLANEADO;E2E-69745;35350;COLWSCANAL-783;;https://globaldevtools.bbva.com/jira/browse/COLWSCANAL-783;Biblioteca Tx y Nvo Modelo de Impresión fase I: 11 tx (solución táctica);Client Solutions;7.Otros;;Tier 3;7.New_Relationship_Model;;Sin Dato;Media;Retail System;;;;;;1.Systems_Engineering;2.Proyecto;7.Otros;1.EMC;2022-Q1;27/12/2021;;;Certificación;Unknown;2022-Q1;Customer Delivery;juan.sandoval;ilseyohanna.ospina;;fabian.vargas;;;;;;;;;;;;;;": Se tiene un Incidente en curso IN-1975, Para solucionar una transacción.  
24/02/22: En curso pruebas calidad.
Con este proyecto, se tiene una acotación. se paso el 100% el 27 de Enero 2022, pero se devolvió una funcionalidad. En este momento se esta atendiendo una Incidencia en Post Implantación,  
17/02/22: Aprobacion Expediente EUG.ok . Envío a calidad para sancion de instalación.

11/02/22: Avance en pruebas de calidad . Sigue en certifiación.
04/02/22: Estamos revisando el U507 por temas ";24/03/2022;29/03/2022;;;;Deployed;1. A Tiempo
198;PLANEADO;E2E-67358;35003;COLWSCANAL-804;;https://globaldevtools.bbva.com/jira/browse/COLWSCANAL-804;Ajuste Tablas QSMD Y QSTPER;Engineering;;;Tier 3;17.Otros;5.Otros;Hibrido;Baja;Banking Applications System;;;;;;1.Systems_Engineering;1.Mantenimiento;;3.Otros;;;;;Capacity;Unknown;2022-Q2;Enabler Delivery;juan.sandoval;cesar_gomez;;javier.sotom;;;;;;;;;;;;;;  Se soluciona vb pendiente para instalar en producción. entra a comite de cambios del 04-05-2022.;28/04/2022;28/04/2022;;;;Test;2. Atrasado
200;PLANEADO;E2E-98273;36558;COLWSCANAL-932;;https://globaldevtools.bbva.com/jira/browse/COLWSCANAL-932;Ascenso-Transferencias Interbancarias Inmediatas/Transfiya;Client Solutions;2.Pymes/Empresas;Mercurio_&_Adquirencia;Tier 2;10.Plan_Ascenso;;Sin Dato;Sin dato;Retail System;;10.Plan_Ascenso;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2023-Q1;Customer Delivery;manuel.villamil;leidypolet.rojas;;andrea.orrego;;;;;;;;;;;;;;Fase de construcción en curso , MSA pendiente cierre final (los insumos solicitados por Arquitectura fueron enviados en su totalidad) , Proceso de revisión de HV de desarrolladores terceros en Globant y Neoris.;29/04/2022;29/04/2022;;;;Analysing;1. A Tiempo
202;PLANEADO;E2E-107380;37098;COLWSCANAL-933;;https://globaldevtools.bbva.com/jira/browse/COLWSCANAL-933;Pago de Prestamos en CB´S;Client Solutions;4.Transformación_de_la_Red;Transformacion_de_la_Red;Tier 1;7.New_Relationship_Model;;Ether;Alta;Retail System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q4;Customer Delivery;camilo.aguirre;Rafael Antonio Lopesierra;;erikajulieth.ruiz;;;;;;;;2Q;SYSTEMS;$ 50.000.000;$ 0;;;" Se avanza en la fase de diseño de lo correspondiente a host
11/03/2022: Se avanza en la revisión de los servicios y se continúa con los desarrollos en host.
04/03/2022: En revisión de los servicios. Pte cierre de conceptos de áreas de valor. Inicio análisis desarrollos backend.
25/02/2022: Se continúa en revisión de servicios ASO-Backend, creación de la segunda versión del diseño téncico. Plan de trabajo a un 90%, se cerrará a medida que los desarrollos avancen. Pendiente cierre del plan de tra";24/03/2022;29/04/2022;;;;New;Estado New
204;PLANEADO;E2E-107383;37099;COLWSCANAL-934;;https://globaldevtools.bbva.com/jira/browse/COLWSCANAL-934;CB Pago TdC;Client Solutions;4.Transformación_de_la_Red;Transformacion_de_la_Red;Tier 1;7.New_Relationship_Model;;Ether;Media;Retail System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q3;Customer Delivery;rafael.lopesierra;Rafael Antonio Lopesierra;;jimy.catolico;;;;;;;;;;;;;;" Pte definiciones de negocio para cerrar VoBo de áreas de valor
11/03/2022: Se avanza en la revisión de los servicios y se continúa en el análisis para los desarrollos.
04/03/2022: En revisión de los servicios. Pte cierre de conceptos de áreas de valor.
25/02/2022: Se continúa en revisión de servicios ASO-Backend y creación de la segunda versión del diseño téncico. Plan de trabajo a un 50%, se cerrará a medida que los desarrollos avancen. Pendiente cierre del plan de trabajo, depende de concepto";24/03/2022;24/03/2022;;;;New;Estado New
206;PLANEADO;E2E-60568;33947;COLWSCANAL-935;;https://globaldevtools.bbva.com/jira/browse/COLWSCANAL-935;Retiros de clientes Bancamía en ATM BBVA;Client Solutions;4.Transformación_de_la_Red;Transformacion_de_la_Red;Tier 1;;;Ether;Alta;Retail System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q4;Customer Delivery;camilo.aguirre;Rafael Antonio Lopesierra;;erikajulieth.ruiz;;;;;;;;;;;;;;"inúa proceso de conceptualización y definiciones.
andresfelipe.calderon 
erikajulieth.ruiz ";27/04/2022;27/04/2022;;;;New;Estado New
208;PLANEADO;E2E-31965;29750;COLWSCANAL-944;;https://globaldevtools.bbva.com/jira/browse/COLWSCANAL-944;MODIFICACIÓN RESOLUCIÓN 5633 DE REGISTRADURIA (Autenticación y desmonte AFIS - FASE 4 - Etapa 2);Engineering;7.Otros;;Tier 1;6.Higth_Priority_Initiative;1.Normativo;Sin Dato;Sin dato;Retail System;;;;;;1.Systems_Engineering;2.Proyecto;7.Otros;3.Otros;;;;;Construcción;Unknown;2022-Q2;Enabler Delivery;john.ardila;ilseyohanna.ospina;;camila.leon;;;;;;;;1Q;SYSTEMS;$ 39.999.960;$ 0;;;"aso a Producción fecha planeada, 21-Abril. Falta visto bueno de Métricas.

	El ANS es de 5 días, se tomaron 8 días.
	Después de revisar, solicitaron otras pruebas adicionales q no estaban contempladas.  Se ejecutan las pruebas de forma ágil.
	Debemos esperar de nuevo los 5 días hábiles para obtener el Visto bueno. 

";13/04/2022;13/04/2022;;;;In Progress;1. A Tiempo
210;PLANEADO;E2E-137887;38582;COLWSCANAL-945;;https://globaldevtools.bbva.com/jira/browse/COLWSCANAL-945; Mejora cascada Alta ligera;Client Solutions;7.Otros;;Tier 3;;;Sin Dato;Sin dato;Retail System;;;;;;1.Systems_Engineering;2.Proyecto;7.Otros;3.Otros;;;;;;Unknown;2022-Q2;Enabler Delivery;carlos.barreto;ilseyohanna.ospina;;camila.leon;;;;;;;;;;;;;;" Seguimiento con el proveedor (aclaración dudas), entrega del Analisis y Diseño. 
7/03/2022:  Reunión con el proveedor en curso analisis y Diseño. 
17/02/2022: Inicia analisis y Diseño.
11/02/2022: Anexo firmado.  
04/02/2022: Se comparten Anexos firmados con Proveedor Inteum.
28/02/2022: Pendiete Frma de los Anexos A.
07/01/2022: Se toma propeusta comercial por parte de Inetum, Negocio solictara el presupuesto.
30/12/2021: Ya se cuenta con la propuesta por parte de Inetum unico proveedor que pr";24/03/2022;26/04/2022;;;;Analysing;1. A Tiempo
212;PLANEADO;E2E-134420;38427;COLWSCONTA-10;;https://globaldevtools.bbva.com/jira/browse/COLWSCONTA-10;Ajuste Web Service Claro Movil;Client Solutions;2.Pymes/Empresas;;Tier 3;;;Hibrido;Media;Enterprise System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q1;Customer Delivery;william.vargas;william.vargas;;jeissonandres.diaz.rodriguez;;;;;;;;;;;;;;  Tema certificado desde el 25 de Marzo, por solicitud del cliente se debe realizar el paso a producción en la fecha que indiquen  ya que se requiere comience la nueva facturación en operación con todos los bancos.;28/04/2022;29/04/2022;;;;Test;1. A Tiempo
214;PLANEADO;E2E-128211;37709;COLWSCONTA-109;;https://globaldevtools.bbva.com/jira/browse/COLWSCONTA-109;Herramientas Regulatorias Regionales (Finrep/AE/Liquidez);Finance;;;Tier 2;;;;;;;;;;;;;;1.EMC;2022-Q2;;;;;Unknown;2022-Q2;Customer Delivery;alcibiades.rodriguez;wilson.torres;;wilson.torres;;;;;;;;;;;;;;rio;;29/04/2022;;;;Ready;1. A Tiempo
216;PLANEADO;E2E-134420;38427;COLWSCONTA-22;;https://globaldevtools.bbva.com/jira/browse/COLWSCONTA-22;Web Service Aceros America;Client Solutions;2.Pymes/Empresas;;Tier 3;;;Hibrido;Media;Enterprise System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q2;Customer Delivery;william.vargas;william.vargas;;jeissonandres.diaz.rodriguez;;;;;;;;;;;;;; Se realiza nueva configuración de conectividad para ambientes previos, se encuentra en ajuste de desarrollo para la inclusión del certificado.;28/04/2022;29/04/2022;;;;In Progress;1. A Tiempo
218;PLANEADO;E2E-69419;35327;COLWSCONTA-23;;https://globaldevtools.bbva.com/jira/browse/COLWSCONTA-23;Recaudo en Línea Sec. Hacienda Bogotá;Client Solutions;;;Tier 1;;;;;;;;;;;;;;1.EMC;2022-Q2;;;;;Unknown;2022-Q2;Customer Delivery;william.vargas;Nelson Ruiz;;Nelson Ruiz;;;;;;;;1Q;SYSTEMS;$ 13.439.979;$ 0;;;rio;;20/04/2022;;;;New;Estado New
220;PLANEADO;E2E-134420;38427;COLWSCONTA-24;;https://globaldevtools.bbva.com/jira/browse/COLWSCONTA-24;Habilitacion de recaudos por CBs 2022;Client Solutions;4.Transformación_de_la_Red;Transformacion_de_la_Red;Tier 2;;;Hibrido;Media;Enterprise System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2023-Q1;Customer Delivery;william.vargas;heidy.bernal;;jeissonandres.diaz.rodriguez;;;;;;;;;;;;;;Paquete 1 en Produccion ;28/04/2022;29/04/2022;;;;Test;1. A Tiempo
222;PLANEADO;E2E-134420;38427;COLWSCONTA-25;;https://globaldevtools.bbva.com/jira/browse/COLWSCONTA-25;Web Service Floridablanca;Client Solutions;2.Pymes/Empresas;;Tier 2;;;Hibrido;Media;Enterprise System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q2;Customer Delivery;william.vargas;william.vargas;;jeissonandres.diaz.rodriguez;;;;;;;;;;;;;; A tiempo en proceso de certificación.;28/04/2022;29/04/2022;;;;Test;1. A Tiempo
224;PLANEADO;E2E-134420;38427;COLWSCONTA-29;;https://globaldevtools.bbva.com/jira/browse/COLWSCONTA-29;Multicash y MT940 MOVIL Entregable II;Client Solutions;5.Productos_CORE;;Tier 3;;;;;Banking Applications System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q3;Customer Delivery;william.vargas;sebastian.martinez.jaramillo;;jeissonandres.diaz.rodriguez;;;;;;;;;;;;;;"
	Se retomara la etapa de análisis y se iniciaran desarrollos a partir del lunes 09/05/2022, de acuerdo con el plan de trabajo.

";29/04/2022;29/04/2022;;;;Analysing;1. A Tiempo
226;PLANEADO;E2E-134420;38427;COLWSCONTA-3;;https://globaldevtools.bbva.com/jira/browse/COLWSCONTA-3;Web Service Alcaldia de Cali (Ajustes);Client Solutions;2.Pymes/Empresas;;Tier 3;;;Hibrido;Media;Enterprise System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;Cliente - Definición;Unknown;2022-Q2;Customer Delivery;william.vargas;william.vargas;;jeissonandres.diaz.rodriguez;;;;;;;;DESLIZADOS;SYSTEMS;$ 2.114.557;$ 0;;; Tema instalado en producción el 22 de Abril de 2.022.;28/04/2022;28/04/2022;;;;Deployed;2. Atrasado
228;PLANEADO;E2E-103624;36929;COLWSCONTA-4;;https://globaldevtools.bbva.com/jira/browse/COLWSCONTA-4;Resolución 098 de 2020 DIAN - Reportes de Información Exogena;Finance;6.Normativos;;Tier 3;8.Normativos;1.Normativo;Sin Dato;Sin dato;Subsidiary-Corp.Functions-Riesgos-CIB;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q3;Enabler Delivery;alcibiades.rodriguez;christian.diaz;;martha.reyes;;;;;;;;1Q;SYSTEMS;$ 86.151.278;$ 0;;;Se avanza en la fase de construccion, sin impacto.;24/03/2022;29/04/2022;;;;In Progress;1. A Tiempo
230;PLANEADO;E2E-134420;38427;COLWSCONTA-44;;https://globaldevtools.bbva.com/jira/browse/COLWSCONTA-44;Referenciación de Movimientos H55, H17 y A37 en Multicash;Client Solutions;7.Otros;;Tier 2;17.Otros;5.Otros;;;Enterprise System;;;;;;1.Systems_Engineering;1.Mantenimiento;1.Software_Aplicativo;1.EMC;2022-Q4;;;;;Unknown;2022-Q4;Enabler Delivery;william.vargas;jeissonandres.diaz.rodriguez;;jeissonandres.diaz.rodriguez;;;;;;;;;;;;;;rio;;29/04/2022;;;;New;Estado New
232;PLANEADO;E2E-59755;33847;COLWSCONTA-5;;https://globaldevtools.bbva.com/jira/browse/COLWSCONTA-5;Resolución 0042 DIAN Documento Soporte Grannet;Finance;6.Normativos;;Tier 3;8.Normativos;1.Normativo;Ether;Alta;Banking Applications System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q1;Enabler Delivery;alcibiades.rodriguez;cesar_gomez;;martha.reyes;;;;;;;;1Q;SYSTEMS;$ 26.371.735;$ 0;;;" En revision. Instalación reversada por error presentado en a funcionalidad de descarga del reporte. Este fue el único problema presentado en todas las pruebas posinstalación realizadas.

11/03/2022. Instalación en producción en curso para el 11/03/2022. El alcance se encuentra acuerdo de fechas y contratación.

03/03/2022. Se acordó fecha de instalación para el 11/03/2022. La valoración del alcance está en revisión por alto costo.

24/02/2022. Pendiente de recibir Vb de areas usuarias sobre el ";24/03/2022;29/03/2022;;;;Deployed;1. A Tiempo
234;PLANEADO;E2E-153289;39333;COLWSCONTA-53;;https://globaldevtools.bbva.com/jira/browse/COLWSCONTA-53;Pago de Impuestos Nacionales y Aduaneros con Títulos TIDIS, CERT y TRT;Client Solutions;;;Tier 1;8.Normativos;;;;;;;;;;1.Systems_Engineering;2.Proyecto;1.Software_Aplicativo;1.EMC;2024-Q4;;;;;Unknown;2024-Q4;Customer Delivery;william.vargas;Nelson Ruiz;;Nelson Ruiz;;;;;;;;;;;;;;rio;;7/04/2022;;;;New;Estado New
236;PLANEADO;E2E-153494;39340;COLWSCONTA-57;;https://globaldevtools.bbva.com/jira/browse/COLWSCONTA-57;Integrar Botón Pagos PSE al Módulo Impuestos Departamentales;Client Solutions;;;Tier 1;8.Normativos;;;;;;;;;;1.Systems_Engineering;2.Proyecto;1.Software_Aplicativo;1.EMC;2023-Q2;;;;;Unknown;2023-Q2;Customer Delivery;william.vargas;Nelson Ruiz;;Nelson Ruiz;;;;;;;;;;;;;;rio;;29/04/2022;;;;New;Estado New
238;PLANEADO;E2E-128211;37709;COLWSCONTA-6;;https://globaldevtools.bbva.com/jira/browse/COLWSCONTA-6;Herramientas Regulatorias Regionales (Finrep/AE/Liquidez);Finance;;;Tier 2;;;;;;;;;;;;;;3.Otros;;;;;;Unknown;2022-Q1;Discovery;alcibiades.rodriguez;wilson.torres;;wilson.torres;;;;;;;;;;;;;;"as been transitioned to DELETED status.
After five days in this status, the issue and its sub-tasks (if any) will be permanently deleted. They will not be recoverable.
Relevant users (wilson.torres, jeissonandres.diaz.rodriguez, miguel.estrella) have been notified of this action.";26/11/2021;19/04/2022;;;;Analysing;1. A Tiempo
240;PLANEADO;E2E-134420;38427;COLWSCONTA-8;;https://globaldevtools.bbva.com/jira/browse/COLWSCONTA-8;Multicash y MT940 MOVIL Entregable I;Client Solutions;5.Productos_CORE;;Tier 3;;;;;Banking Applications System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q2;Customer Delivery;william.vargas;sebastian.martinez.jaramillo;;jeissonandres.diaz.rodriguez;;;;;;;;;;;;;;"
	Tema enviado a certificación, en proceso de sanción técnica. 

";29/04/2022;29/04/2022;;;;In Progress;1. A Tiempo
242;PLANEADO;E2E-134420;38427;COLWSCONTA-9;;https://globaldevtools.bbva.com/jira/browse/COLWSCONTA-9;Web Service Monteria;Client Solutions;2.Pymes/Empresas;;Tier 3;;;Hibrido;Media;Enterprise System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q2;Customer Delivery;william.vargas;william.vargas;;jeissonandres.diaz.rodriguez;;;;;;;;;;;;;;Tema instalado en producción el 22 de abril.;28/04/2022;29/04/2022;;;;Deployed;1. A Tiempo
244;PLANEADO;E2E-41454;31340;COLWSCORPO-2;;https://globaldevtools.bbva.com/jira/browse/COLWSCORPO-2;Cambio de transmisión de archivos via X_COM;Engineering;7.Otros;;Tier 2;17.Otros;5.Otros;;;Enterprise System;;;;;;1.Systems_Engineering;2.Proyecto;7.Otros;3.Otros;;;;;;Unknown;2022-Q2;Enabler Delivery;milena.patino;william.vargas;;raul.diaz;;;;;;;;DESLIZADOS;SYSTEMS;$ 3.999.992;$ 0;;;duccion 22 de Abril ;28/04/2022;28/04/2022;;;;Deployed;1. A Tiempo
246;PLANEADO;E2E-107071;37062;COLWSCRM-40;;https://globaldevtools.bbva.com/jira/browse/COLWSCRM-40;Smart Supervision - khronos;Client Solutions;;;Tier 3;17.Otros;1.Normativo;Ether;Alta;Banking Applications System;;;;;;1.Systems_Engineering;2.Proyecto;;3.Otros;;;;;;Unknown;2022-Q4;Enabler Delivery;pabloandres.villada;cesar_gomez;;jorge.carvajal;;;;;;;;1Q;DATA TRANSFORMATIONS & ENGINEERING;$ 219.561.059;$ 0;;;" Khronos se entregara a certificación el segundo entregable el 06-05-2022. 

Ether Se inician pruebas de DATAX y el Momento 1 el 05-05-2022.

la SIF ha enviado una nueva definición que se está aclarando ya que implica cambios tanto en Khronos como en Ether. Se está negociando con la SIF el empacto en fechas.";28/04/2022;28/04/2022;;;;In Progress;1. A Tiempo
248;PLANEADO;E2E-117346;37111;COLWSCUENT-200;;https://globaldevtools.bbva.com/jira/browse/COLWSCUENT-200;Cuenta Maestra ADRES Fase 2 HU 1 - Nuevos Conceptos;Client Solutions;5.Productos_CORE;;Tier 1;17.Otros;;Ether;Baja;Banking Applications System;;;;;;1.Systems_Engineering;2.Proyecto;;1.EMC;2022-Q1;;;;;Unknown;2022-Q1;Customer Delivery;william.vargas;juanantonio.ramirez.buitrago;;Nelson Ruiz;;;;;;;;1Q;SYSTEMS;$ 74.848.202;$ 0;;;" Tema instalado .
03/03/2022. Tema instalado en postproducción.
24/02/2022. Tema desplegado en prod. el 24 de feb.
17/02/2022. Tema certificado a espera de presentación comité del 23 feb";24/03/2022;11/04/2022;;;;Deployed;1. A Tiempo
