ORDEN PLANEADO ,EXCLUIR CUENTA UNICA,EPICA,SDATOOL,FEATURE,DELIVERABLE,LINK JIRA,NOMBRE PROYECTO,DOMINIO,PROGRAMA,SPRINT (VP),TIER,PLAN(Portafolio),TAG (MP),TECNOLOGÍA,COMPLEJIDAD,GREMIO (DIRECCIÓN SYSTEM),DIRECCIÓN SYSTEM (4),PORTAFOLIO PLAN ASCENSO,PLAN MERCURIO,PLAN AREA REVIEW,COMITE (VP),DIRECCIÓN DE INGENIERIA,TIPOS DE MANTENIMIENTO,CATEGORIA DEL PROYECTO,TIPO (EMC-OTROS),EMC COMPROMETIDO,FECHA REPLANIFICACIÓN,FECHA REPLANIFICACIÓN 2,FECHA REPLANIFICACIÓN 3,MARCA REPLAN,MOTIVO REPLANIFICACIÓN,TIPO DE METODOLOGÍA,PROGRAM INCREMENT,TYPE OF DELIVERY,SERVICE OWNER,LIDER TECNICO,PROGRAM MANAGER,PO-OWNER,TECH MANAGER,ARQUITECTURA,CORPORATE SECURITY,TDM,TALENTO BBVA,TALENTO EXTERNO,RATIO STAFFING,"PRESUPUESTO
(PRESUPUESTADO) (Capex)","PRESUPUESTO
 (COMPROMETIDO)
(Capex)",PRESUPUESTO REALIZADO (Capex),PRESUPUESTO DISPONIBLE,PAYBACK,VALOR DE RETORNO,COMENTARIO SEGUIMIENTO,CREACION COMENTARIO,ACTUALIZACIÓN COMENTARIO,AVANCE REAL,AVANCE TEORICO,DESVIACIÓN,IMAGEN ESTADO,ESTADO,INDICADOR
22,PLANEADO,E2E-136559,38531,CCSS-12819,,https://globaldevtools.bbva.com/jira/browse/CCSS-12819,Expansión ATMs 2Q,Client Solutions,,,Tier 1,,,,,,,,,,,,,,3.Otros,,,,,,,Unknown,2022-Q2,Customer Delivery,,edna.salas,,ferney.guzman,,,,,,,,,,,,,,Sin Comentario,,29/04/2022,,,,⬤,New,Estado New
24,PLANEADO,E2E-134420,38427,CCSS-4448,,https://globaldevtools.bbva.com/jira/browse/CCSS-4448,Automatización de operaciones en efectivo,Client Solutions,2.Pymes/Empresas,Transversal,Tier 3,,,,,Banking Applications System,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,Cliente - Definición,Unknown,2023-Q1,Customer Delivery,william.vargas,sebastian.martinez.jaramillo,,INGRID VANESSA ORTIZ VERANO,,,,,,,,,,,,,,"29/04/2022:

Proyecto en etapa de desarrollo, y creación de tablas DB2.",29/04/2022,29/04/2022,,,,⬤,In Progress,1. A Tiempo
26,PLANEADO,E2E-2989,9053,CCSS-4687,,https://globaldevtools.bbva.com/jira/browse/CCSS-4687,"Bloque 3 - Transaccionalidad: Pagos, Transferencias, Recargas y Otras Operaciones",Client Solutions,,,Tier 1,,,,,Retail System,,,,,,,,,1.EMC,2022-Q2,,,,,,Agile,2022-Q2,Customer Delivery,carlos.barreto,aura.castellanos,,geraldine.martinez.contractor,,,,,,,,,,,,,,Sin Comentario,,29/04/2022,,,,⬤,New,Estado New
28,PLANEADO,E2E-50445,32991,CCSS-5044,,https://globaldevtools.bbva.com/jira/browse/CCSS-5044,Access Fee en ATMs,Client Solutions,3.Liderazgo_Digital,,Tier 2,17.Otros,,Sin Dato,Sin dato,Retail System,,,,,,1.Systems_Engineering,2.Proyecto,,1.EMC,2022-Q1,21/02/2022,,,▶,Ente Externo,Unknown,2022-Q1,Customer Delivery,joe.valenzuela,Rafael Antonio Lopesierra,,vickyalexandra.mora,,,,,,,,1Q,SYSTEMS, $79.999.935, $0,,,"27/04: Se realiza despliegue de 300 ATM en la madrugada de hoy de manera satisfactoria, para un total de 390 máquinas con Versión 17.4

David Leonardo Obando Cortes ",27/04/2022,27/04/2022,,,,⬤,Test,2. Atrasado
30,PLANEADO,E2E-66993,34910,CCSS-5190,,https://globaldevtools.bbva.com/jira/browse/CCSS-5190,Libranza Digital - Flujo libre inversión,Client Solutions,1.Ventas_Digitales,Vinculación_&_Empleados,Tier 1,1.Catch_Up,,Ether,Alta,Banking Applications System,,,,,,1.Systems_Engineering,2.Proyecto,,1.EMC,2022-Q2,23/02/2022,,,▶,Construcción,Unknown,2022-Q2,Customer Delivery,maritza.guerrero,maritza.guerrero,,brigitteyesenia.beltran,,,,,,,,1Q,SYSTEMS, $50.000.000, $0,,,"29/04/2022- Postproducción, En proceso de enviar a gestcam para la instalación la próxima semana Piloto(alcance de cambio tarifas de seguros, ajuste en dos reportes de riesgos), ajustes de Cells para archivo agendamiento(Hoy instalación broadcast), incorporación al equipo de una persona de cells para atender temas productivos y  temas de Entregable 2",29/04/2022,29/04/2022,,,,⬤,Ready to Deploy,2. Atrasado
32,PLANEADO,E2E-62018,34157,CCSS-5346,,https://globaldevtools.bbva.com/jira/browse/CCSS-5346,Evolutivo Parthnership - Crédito en punto de venta de Aliados,Client Solutions,1.Ventas_Digitales,,Tier 3,,,,,Banking Applications System,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2022-Q2,Enabler Delivery,carlosalberto.barreto,maritza.guerrero,,sandra.espinosa,,,,,,,,1Q,SYSTEMS, $135.958.999, $0,,,"01/04/2022: Calidad, se encuentra cerrando sanción técnica,  sin bloqueantes vamos segun el plan entregado",1/04/2022,29/04/2022,,,,⬤,Ready to Deploy,1. A Tiempo
34,PLANEADO,E2E-62018,34157,CCSS-5347,,https://globaldevtools.bbva.com/jira/browse/CCSS-5347,Evolutivo Predictor de Ingresos en Proyecto Crédito en Punto de Venta de Aliados,Client Solutions,1.Ventas_Digitales,,Tier 1,,,Ether,Media,Banking Applications System,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,17/12/2021,,,▶,Cliente - Definición,Unknown,2022-Q1,Customer Delivery,carlosalberto.barreto,edgar.rey,,judy.prieto,,,,,,,,DESLIZADOS,SYSTEMS, $13.726.007, $0,,,"23/02/2022: INSTALADO Se da cierre técnico al proyecto, pendiente reinicio de oferta con el aliado a partir del 2 de marzo de 2022.

16/02/2022
Implementación predictor: Instalò el 5 de febrer em produccion
Clientes Revinculados:Se instala el 17 de Febrero en Produccion

10/02/2022
Implementación predictor: Se realizó la instalación el día 5 de febrero.
Clientes Revinculados:Tema certificado y planificado para comite de cambios para instalar.
Se presenta incidencia productiva que está solucionandose, falla en componenete que implica hacer una versión local para resolver.

04/02/2022
Implementación predictor: Se presentaron problemas con una ultima prueba, lo que retraso el paso a comité, se espera obtener comite adhoc hoy para poder instalar.
Clientes Revinculados: Por el problema presentado con predictor se presenta retraso en las pruebas de revinculados, se retoman pruebas hoy.

27/01/2022
Implementación predictor: Se tiene certificado el tema y programado para comite del 2 de febrero.
Clientes Revinculados: Se retoman pruebas una vez terminado el tema de predictor.

20/01/2021
Implementación predictor: Luego del bloqueo que tuvimos por los ajustes y refresco de data en calidad, se retomaron las pruebas.
Clientes Revinculados: Se realiza el despliegue en calidad y se empieza ajustar data para la seguir con la certificación.

13/01/2021
Implementación predictor: Se han realizado ajustes en apx y cells por lo cual se han presentado retrasos en los eventos de calidad, en estos momentos no se han podido retomar las pruebas dado que el ambiente de calidad se encuentra en re fresh de data y presenta inconvenientes. 
Clientes Revinculados: Se realiza valida la sanción tecnica y estamos a la espera de despliegue para comenzar la certificación.

06/01/2021
Implementación predictor: En las pruebas  certificación se han presentado retrasos por ajustes en APX, se espera retomar pruebas en el día de mañana 7 de Enero.
Clientes Revinculados: Se envio a calidad en las fechas programadas, se esta a la espera de sanción técnica.

29/12/2021
Implementación predictor: Se está avanzando en las pruebas de certificación, se han presentado retrasos por un ordenamiento de filtros erroneo que implicó hacer ajustes en APX, retomando pruebas.
Clientes Revinculados: En pruebas en ambiente de desarrollo para asegurar y enviar a calidad, se espera hacer envío el día 30 de diciembre.

23/12/2021
Implementación predictor: Se está avanzando en las pruebas de certificación, avanzando según el plan.
Clientes Revinculados: En pruebas en ambiente de desarrollo para asegurar y enviar a calidad.

16/12/2021
Implementación predictor: Se finalizaron los desarrollos de la parte APX, se entregó el tema a calidad, se inició la etapa de certificación.
Clientes Revinculados:En etapa de desarrollos segun el plan.

09/12/2021
Integración nuevo SDK: Tema instalado en producción el 2/12/2021. 
Implementación predictor: Se realizó envio a calidad las capas de ASO y Cells, de APX se envio lo que se encuentra listo mientras se terminan los desarrollos, se inicio con pruebas de no afectación. Fecha estimada de paso a producción 21/01/2022.
Clientes Revinculados:Se inicia la etapa de analisis y diseño técnico para iniciar los desarrollos, fecha planeada a producción 11/02/2022.

02/12/2021
Integración nuevo SDK: Tema aprobado en comité, y planificado para instalación esta noche. 
Implementación predictor: Se encuentran listos los desarrollos front, en la parte APX, se evidencia que se necesita hacer desarrollos adicionales para la paramteria de aliados y deducciones, esto genera un impacto en la fecha final de 1 semana.

24/11/2021 
Integración nuevo SDK: En finalización de pruebas de certificación de la integración del nuevo SDK. 
Implementación predictor: Los desarrollos par la integración del predictor de ingresos se terminaron y estamos en pruebas en desarrollo.

18/11/2021 La integración del nuevo SDK, se encuentra en snción técnica por parte de calidad para despliegue e inicio de pruebas, la integración del predictor se finalizan desarrollos el 25/11/2021, y se iniciarán pruebas integrales en desarrollo.

11/11/2021 La integración del SDK se encuentra en finalización de desarrollos, los cuales se atrasaron porque salio un ajuste que no se tenia contemplado, ya que se supone que la integración era igual a la de tarjetas, pero en este flujo no manejan recapcha, se espera pasar a calidad el 12/11/2021. En cuanto a la integración del predictor, se está avanzando con los desarrollos Cells y APX.",24/03/2022,28/04/2022,,,,⬤,Deployed,1. A Tiempo
36,PLANEADO,E2E-3028,9072,CCSS-5547,,https://globaldevtools.bbva.com/jira/browse/CCSS-5547,CONTRATACIÓN ÁGIL DE PRODUCTOS -CAP OMISION ETAPAS Y RADICACIÓN AUTOMÁTICA ,Client Solutions,4.Transformación_de_la_Red,Vinculación_&_Empleados,Tier 2,17.Otros,,Sin Dato,Sin dato,Banking Applications System,,,,,,1.Systems_Engineering,2.Proyecto,,1.EMC,2022-Q1,,,,,Cambio de prioridad Usuario,Waterfall,2022-Q1,Customer Delivery,david.robayo,lyda.cabanzo,,astrid.ramirez,,,,,,,,,,,,,,28/04/2022: En ambiente de calidad: Se presenta alcance para el paso producción por deficiones de manejo de indicativos 600. Adicional se esta validando con el área usuaria flujos de BPM para el correcto funcionamiento de la retoma de las etapas. Pendiente de definir de acuerdo a lo último estipulado la fecha de paso a producción. ,28/04/2022,28/04/2022,,,,⬤,Test,1. A Tiempo
38,PLANEADO,E2E-70116,35384,CCSS-5766,,https://globaldevtools.bbva.com/jira/browse/CCSS-5766,Gestión Documental Pymes,Client Solutions,4.Transformación_de_la_Red,Pymes,Tier 3,,5.Otros,Sin Dato,Sin dato,Banking Applications System,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2022-Q2,Customer Delivery,diego.sinisterra,gloria.hernandez,,astrid.ramirez,,,,,,,,1Q,SYSTEMS, $149.864.537, $0,,,"28/04/22: Se realiza socialización con usuario de cara a validar la integración del proyecto en donde se valida consulta de GD por caso y documento. Se plantea nuevo acercamiento para pruebas la semana entrante. Sin embargo, se informa una alerta relacionada con la información de estados de documentos que no informa el servicio global, lo cual impacta el proyecto y se establece realizar mesas de análisis y de trabajo para solventar dicha novedad que infiere en una replanificación del proyecto. replanificación que se socializara una vez se cierren las sesiones con el regional.",28/04/2022,28/04/2022,,,,⬤,In Progress,1. A Tiempo
40,PLANEADO,E2E-60505,33942,CCSS-5994,,https://globaldevtools.bbva.com/jira/browse/CCSS-5994,Vehículo Digital Fase 3-Flujo en BPM,Client Solutions,1.Ventas_Digitales,Consumo_&_Partnerships,Tier 3,9.Open_Market+Partnerships,,Sin Dato,Sin dato,Banking Applications System,,,,,,1.Systems_Engineering,2.Proyecto,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Customer Delivery,carlosalberto.barreto,gloria.hernandez,,diegoandres.rodriguez,,,,,,,,,,,,,,28/04/2022 Proyecto instalado en producción. En seguimiento post-implantación.,28/04/2022,28/04/2022,,,,⬤,Ready to Deploy,1. A Tiempo
42,PLANEADO,E2E-69419,35327,CCSS-6399,,https://globaldevtools.bbva.com/jira/browse/CCSS-6399,Parametria Informe Diario DIAN y Min Hacienda (Alcance),Client Solutions,5.Productos_CORE,,Tier 2,17.Otros,1.Normativo,Ether,Baja,Enterprise System,,,,,,1.Systems_Engineering,2.Proyecto,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Enabler Delivery,william.vargas,william.vargas,,Nelson Ruiz,,,,,,,,1Q,SYSTEMS, $42.665.341, $0,,,17/02/2022: A tiempo en construcción.,24/03/2022,28/04/2022,,,,⬤,In Progress,1. A Tiempo
44,PLANEADO,E2E-77633,36047,CCSS-6765,,https://globaldevtools.bbva.com/jira/browse/CCSS-6765," Bloqueo   Sobregiro para  Pago Capital, Comisiones e Intereses",Client Solutions,6.Normativos,,Tier 1,8.Normativos,5.Otros,Ether,Alta,,,,,,,1.Systems_Engineering,2.Proyecto,7.Otros,1.EMC,2021-Q3,,,,,,Unknown,2021-Q3,Functional,martin.torres,martin.torres,,geraldine.martinez.contractor,,,,,,,,,,,,,,"Este proyecto esta detenido, el Owner del aplicativo y de negocio a dado toda la prioridad a los proyecfos ISO20022 y DIAN cir-161",22/04/2022,29/04/2022,,,,⬤,Blocked,1. A Tiempo
46,PLANEADO,E2E-60568,33947,CCSS-7004,,https://globaldevtools.bbva.com/jira/browse/CCSS-7004,(CBs)Depositos Bancamía-Sinergias Bancamia,Client Solutions,4.Transformación_de_la_Red,Transformacion_de_la_Red,Tier 1,,,Ether,Alta,Retail System,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,Cambio de prioridad Usuario,Unknown,2022-Q1,Customer Delivery,camilo.aguirre,Rafael Antonio Lopesierra,,erikajulieth.ruiz,,,,,,,,,,,,,,"18/03/2022: En desarrollo la parte de la mensajería y la fase de los servicios se encuentra en certificación, pendiente de VoBo´s contables, caro y seguridad.
14/03/2022: BBVA culmina certificación de Depósitos en marzo/2022, Bancamía informa finalizar en Junio/2022 04/03/2022: Se crean sesiones de entendimiento con el Cb y BBVA continúa en certificación. 25/02/2022: El plan de trabajo por parte de Bancamia fue entregado, pendiente sincronizar planes de trabajo BBVA y Bmia.BBVA avanza en etapa de certificación. 18/02/2022: Bancamía no ha dado prioridad; BBVA avanza en etapa de certificación. 11/02/2022: Bancamía no ha dado prioridad; en BBVA avanza en etapa de certificación. 04/02/2022: Bancamía no ha dado prioridad; en BBVA avanza en etapa de certificación. 28/01/2022: Bancamía no ha dado prioridad; en BBVA avanza en etapa de certificación. 07/01/2022: Bancamía no ha dado prioridad; en BBVA avanza certificación. 31/12/2021: Bancamía no ha dado prioridad; en BBVA avanza certificación. 24/12/2021: Bancamía no ha dado prioridad, en BBVA avanza sanción técnica.""",24/03/2022,27/04/2022,,,,⬤,Test,1. A Tiempo
48,PLANEADO,E2E-117337,37110,CCSS-7232,,https://globaldevtools.bbva.com/jira/browse/CCSS-7232,Leasing Verde,Client Solutions,8.Sostenibilidad,Sostenibilidad,Tier 1,17.Otros,,Ether,Media,Enterprise System,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,21/05/2022,,,▶,Cliente - Definición,Unknown,2022-Q2,Customer Delivery,,milagros.lastra,,monicaandrea.abogado,,,,,,,,1Q,SYSTEMS, $74.455.750, $0,,,"02/05
Etapa: Certificación
Avance Teórico Total: 95.53%
Avance Real Total: 94.88%
Desviación: -0.67%
Casos ejecutados: 65
Casos pendientes: 13

Avances Importantes: 
Enviado a revisión Operativa y del equipo de Sostenibilidad evidencias de 2 de 3 entregables para VoBo parcial de paso a Producción.
El equipo de Calidad se encuentra en alistamiento del entregable 3/3 para envio a las áreas usuarias para VB final.
Las pruebas de regresión se iniciarán finalizando esta semana.
Fecha Producción: 21/05/2022

LT. Milagros Lastra Jiménez


29/04
Etapa: Certificación
Avance Teórico Total: 95.53%
Avance Real Total: 94.88%
Desviación: -0.67%
Casos ejecutados: 65
Casos pendientes: 13
Avances Importantes: ** 

        Equipo Tester envía a los usuarios el 27/04,  el entregable 1/3 para  VoBo de paso a Producción. En alistamiento del entregable 2/3.
        Las pruebas de regresión se iniciarán la próxima semana.


Fecha Producción: 21/05/2022

LT. Milagros Lastra Jiménez",29/04/2022,29/04/2022,,,,⬤,Test,2. Atrasado
