Continente; País;;;;;
AFRICA;COSTA DE MARFIL;;;;;
AFRICA;DJIBOUTI;;;;;
AFRICA;EGIPTO;;;;;
AFRICA;ETIOPIA;;;;;
AFRICA;GABON;;;;;
AFRICA;GAMBIA;;;;;
AFRICA;GHANA;;;;;
AFRICA;GUINEA;;;;;
AFRICA;GUINEA-BISSAU;;;;;
AFRICA;GUINEA ECUATORIAL;;;;;
AFRICA;KENIA;;;;;
AFRICA;LESOTHO;;;;;
AFRICA;LIBERIA;;;;;
AFRICA;LIBIA;;;;;
AFRICA;MADAGASCAR;;;;;
AFRICA;MALAWI;;;;;
AFRICA;MALI;;;;;
AFRICA;MARRUECOS;;;;;
AFRICA;MAURICIO;;;;;
AFRICA;MAURITANIA;;;;;
AFRICA;MOZAMBIQUE;;;;;
AFRICA;NAMIBIA;;;;;
AFRICA;NIGER;;;;;
AFRICA;NIGERIA;;;;;
AFRICA;REPUBLICA CENTROAFRICANA;;;;;
AFRICA;SUDAFRICA;;;;;
AFRICA;RUANDA;;;;;
AFRICA;SANTO TOME Y PRINCIPE;;;;;
AFRICA;SENEGAL;;;;;
AFRICA;SEYCHELLES;;;;;
AFRICA;SIERRA LEONA;;;;;
AFRICA;SOMALIA;;;;;
AFRICA;SUDAN;;;;;
AFRICA;SWAZILANDIA;;;;;
AFRICA;TANZANIA;;;;;
AFRICA;CHAD;;;;;
AFRICA;TOGO;;;;;
AFRICA;TUNEZ;;;;;
AFRICA;UGANDA;;;;;
AFRICA;REP.DEMOCRATICA DEL CONGO;;;;;
AFRICA;ZAMBIA;;;;;
AFRICA;ZIMBABWE;;;;;
AFRICA;ERITREA;;;;;
AFRICA;SANTA HELENA;;;;;
AFRICA;REUNION;;;;;
AFRICA;MAYOTTE;;;;;
AFRICA;SAHARA OCCIDENTAL;;;;;
AMERICA DEL NORTE;CANADA;;;;;
AMERICA DEL NORTE;ESTADOS UNIDOS DE AMERICA;;;;;
AMERICA DEL NORTE;MEXICO;;;;;
AMERICA DEL NORTE;SAN PEDRO Y MIQUELON ;;;;;
AMERICA DEL NORTE;GROENLANDIA;;;;;
CENTRO AMERICA Y CARIBE;ANTIGUA Y BARBUDA;;;;;
CENTRO AMERICA Y CARIBE;BAHAMAS;;;;;
CENTRO AMERICA Y CARIBE;BARBADOS;;;;;
CENTRO AMERICA Y CARIBE;BELICE;;;;;
CENTRO AMERICA Y CARIBE;COSTA RICA;;;;;
CENTRO AMERICA Y CARIBE;CUBA;;;;;
CENTRO AMERICA Y CARIBE;DOMINICA;;;;;
CENTRO AMERICA Y CARIBE;EL SALVADOR;;;;;
CENTRO AMERICA Y CARIBE;GRANADA;;;;;
CENTRO AMERICA Y CARIBE;GUATEMALA;;;;;
CENTRO AMERICA Y CARIBE;HAITI;;;;;
CENTRO AMERICA Y CARIBE;HONDURAS;;;;;
CENTRO AMERICA Y CARIBE;JAMAICA;;;;;
CENTRO AMERICA Y CARIBE;NICARAGUA;;;;;
CENTRO AMERICA Y CARIBE;PANAMA;;;;;
CENTRO AMERICA Y CARIBE;SAN VICENTE Y LAS GRANADINAS;;;;;
CENTRO AMERICA Y CARIBE;REPUBLICA DOMINICANA;;;;;
CENTRO AMERICA Y CARIBE;TRINIDAD Y TOBAGO;;;;;
CENTRO AMERICA Y CARIBE;SANTA LUCIA;;;;;
CENTRO AMERICA Y CARIBE;SAN CRISTOBAL Y NIEVES;;;;;
CENTRO AMERICA Y CARIBE;ISLAS CAIMÁN;;;;;
CENTRO AMERICA Y CARIBE;ISLAS TURCAS Y CAICOS;;;;;
CENTRO AMERICA Y CARIBE;ISLAS VÍRGENES DE LOS ESTADOS UNIDOS;;;;;
CENTRO AMERICA Y CARIBE;GUADALUPE;;;;;
CENTRO AMERICA Y CARIBE;ANTILLAS HOLANDESAS;;;;;
CENTRO AMERICA Y CARIBE;SAN MARTIN (PARTE FRANCESA);;;;;
CENTRO AMERICA Y CARIBE;ARUBA;;;;;
CENTRO AMERICA Y CARIBE;MONTSERRAT;;;;;
CENTRO AMERICA Y CARIBE;ANGUILLA;;;;;
CENTRO AMERICA Y CARIBE;SAN BARTOLOME;;;;;
CENTRO AMERICA Y CARIBE;MARTINICA;;;;;
CENTRO AMERICA Y CARIBE;PUERTO RICO;;;;;
CENTRO AMERICA Y CARIBE;BERMUDAS;;;;;
CENTRO AMERICA Y CARIBE;ISLAS VIRGENES BRITANICAS;;;;;
SUR AMERICA;ARGENTINA;;;;;
SUR AMERICA;BOLIVIA;;;;;
SUR AMERICA;BRASIL;;;;;
SUR AMERICA;COLOMBIA;;;;;
SUR AMERICA;CHILE;;;;;
SUR AMERICA;ECUADOR;;;;;
SUR AMERICA;GUYANA;;;;;
SUR AMERICA;PARAGUAY;;;;;
SUR AMERICA;PERU;;;;;
SUR AMERICA;SURINAM;;;;;
SUR AMERICA;URUGUAY;;;;;
SUR AMERICA;VENEZUELA;;;;;
SUR AMERICA;GUAYANA FRANCESA;;;;;
SUR AMERICA;ISLAS MALVINAS;;;;;
ASIA;AFGANISTAN;;;;;
ASIA;ARABIA SAUDI;;;;;
ASIA;BAHREIN;;;;;
ASIA;BANGLADESH;;;;;
ASIA;MYANMAR;;;;;
ASIA;CHINA;;;;;
ASIA;EMIRATOS ARABES UNIDOS;;;;;
ASIA;FILIPINAS;;;;;
ASIA;INDIA;;;;;
ASIA;INDONESIA;;;;;
ASIA;IRAQ;;;;;
ASIA;IRAN;;;;;
ASIA;ISRAEL;;;;;
ASIA;JAPON;;;;;
ASIA;JORDANIA;;;;;
ASIA;CAMBOYA;;;;;
ASIA;KUWAIT;;;;;
ASIA;LAOS;;;;;
ASIA;LIBANO;;;;;
ASIA;MALASIA;;;;;
ASIA;MALDIVAS;;;;;
ASIA;MONGOLIA;;;;;
ASIA;NEPAL;;;;;
ASIA;OMAN;;;;;
ASIA;PAKISTAN;;;;;
ASIA;QATAR;;;;;
ASIA;COREA;;;;;
ASIA;COREA DEL NORTE ;;;;;
ASIA;SINGAPUR;;;;;
ASIA;SIRIA;;;;;
ASIA;SRI LANKA;;;;;
ASIA;TAILANDIA;;;;;
ASIA;VIETNAM;;;;;
ASIA;BRUNEI;;;;;
ASIA;ISLAS MARSHALL;;;;;
ASIA;YEMEN;;;;;
ASIA;AZERBAIYAN;;;;;
ASIA;KAZAJSTAN;;;;;
ASIA;KIRGUISTAN;;;;;
ASIA;TADYIKISTAN;;;;;
ASIA;TURKMENISTAN;;;;;
ASIA;UZBEKISTAN;;;;;
ASIA;ISLAS MARIANAS DEL NORTE;;;;;
ASIA;PALESTINA;;;;;
ASIA;HONG KONG;;;;;
ASIA;BHUTÁN;;;;;
ASIA;GUAM;;;;;
ASIA;MACAO;;;;;
OCEANÍA;AUSTRALIA;;;;;
OCEANÍA;FIJI;;;;;
OCEANÍA;NUEVA ZELANDA;;;;;
OCEANÍA;PAPUA NUEVA GUINEA;;;;;
OCEANÍA;ISLAS SALOMON;;;;;
OCEANÍA;SAMOA;;;;;
OCEANÍA;TONGA;;;;;
OCEANÍA;VANUATU;;;;;
OCEANÍA;MICRONESIA;;;;;
OCEANÍA;TUVALU;;;;;
OCEANÍA;ISLAS COOK;;;;;
OCEANÍA;NAURU;;;;;
OCEANÍA;PALAOS;;;;;
OCEANÍA;TIMOR ORIENTAL;;;;;
OCEANÍA;POLINESIA FRANCESA;;;;;
OCEANÍA;ISLA NORFOLK;;;;;
OCEANÍA;KIRIBATI;;;;;
OCEANÍA;NIUE;;;;;
OCEANÍA;ISLAS PITCAIRN;;;;;
OCEANÍA;TOKELAU;;;;;
OCEANÍA;NUEVA CALEDONIA;;;;;
OCEANÍA;WALLIS Y FORTUNA;;;;;
OCEANÍA;SAMOA AMERICANA;;;;;
;;;;;;
;;;;;;
;;;;;;
